(21.4789,47.5796)
(21.4822,47.5687)
(21.4824,47.5691)
(21.4838,47.5793)
(21.4841,47.5791)
(21.4859,47.5392)
(21.4911,47.5387)
(21.4912,47.5386)
(21.4961,47.56)
(21.4962,47.5383)
(21.4966,47.5588)
(21.4972,47.5382)
(21.5032,47.5378)
(21.5036,47.5377)
(21.5123,47.5371)
(21.5127,47.5372)
(21.5162,47.5557)
(21.5184,47.5552)
(21.5205,47.5366)
(21.5212,47.5365)
(21.5287,47.5535)
(21.5302,47.5531)
(21.5347,47.5524)
(21.5357,47.5944)
(21.5357,47.5526)
(21.5369,47.5962)
(21.5397,47.5352)
(21.5405,47.5352)
(21.5408,47.5547)
(21.541,47.5939)
(21.5415,47.5513)
(21.5425,47.5519)
(21.5432,47.5508)
(21.5433,47.5954)
(21.5499,47.5928)
(21.5499,47.5946)
(21.5526,47.5925)
(21.5579,47.5941)
(21.5603,47.548)
(21.5621,47.5475)
(21.5624,47.5964)
(21.5628,47.5329)
(21.5629,47.5966)
(21.5629,47.5933)
(21.563,47.5934)
(21.5634,47.5948)
(21.5659,47.5914)
(21.5665,47.5915)
(21.5682,47.5956)
(21.5689,47.5949)
(21.5699,47.5245)
(21.5707,47.5458)
(21.5711,47.5979)
(21.5716,47.5307)
(21.5722,47.5924)
(21.5724,47.5304)
(21.5724,47.5981)
(21.5725,47.5924)
(21.573,47.5412)
(21.5739,47.5224)
(21.5741,47.5444)
(21.5749,47.5221)
(21.5766,47.5297)
(21.5767,47.5969)
(21.5773,47.5976)
(21.5778,47.5967)
(21.5782,47.5452)
(21.5785,47.5942)
(21.5787,47.5942)
(21.5787,47.5292)
(21.5793,47.5076)
(21.5794,47.5073)
(21.5794,47.512)
(21.5794,47.5928)
(21.5795,47.5123)
(21.5796,47.517)
(21.5797,47.5165)
(21.5797,47.5209)
(21.5797,47.5917)
(21.5797,47.5218)
(21.5798,47.5206)
(21.5798,47.5261)
(21.5799,47.5224)
(21.58,47.5267)
(21.5804,47.5413)
(21.5804,47.5342)
(21.5804,47.5389)
(21.5805,47.5399)
(21.5807,47.5344)
(21.5813,47.5445)
(21.582,47.5314)
(21.5821,47.5311)
(21.5824,47.6004)
(21.5831,47.6005)
(21.5832,47.5422)
(21.5832,47.5284)
(21.5835,47.5018)
(21.5839,47.5892)
(21.5843,47.5285)
(21.5843,47.5883)
(21.585,47.5278)
(21.5856,47.5414)
(21.5866,47.6024)
(21.5872,47.6026)
(21.5874,47.5275)
(21.5883,47.5559)
(21.5887,47.5823)
(21.5892,47.5291)
(21.5892,47.582)
(21.5894,47.5292)
(21.5894,47.5352)
(21.5895,47.4648)
(21.5898,47.6005)
(21.5898,47.4693)
(21.5899,47.4698)
(21.5899,47.4716)
(21.59,47.4714)
(21.5902,47.4751)
(21.5903,47.4747)
(21.5903,47.4774)
(21.5905,47.4778)
(21.591,47.5353)
(21.5917,47.5759)
(21.5917,47.575)
(21.592,47.543)
(21.5936,47.5352)
(21.5939,47.5425)
(21.5942,47.5344)
(21.5949,47.527)
(21.5952,47.535)
(21.5954,47.5313)
(21.5954,47.5316)
(21.5955,47.6049)
(21.5958,47.5273)
(21.5972,47.5551)
(21.5973,47.5551)
(21.5973,47.6038)
(21.5978,47.5557)
(21.5978,47.5492)
